cycle,level,air_flow,feed_flow,tailings_flow,concentrate_grade,emergency_stop,motor_running
491,50.492,55.000,40.000,38.000,82.810,false,true
492,50.493,55.000,40.000,38.000,82.810,false,true
493,50.494,55.000,40.000,38.000,82.810,false,true
494,50.495,55.000,40.000,38.000,82.810,false,true
495,50.496,55.000,40.000,38.000,82.810,false,true
496,50.497,55.000,40.000,38.000,82.810,false,true
497,50.498,55.000,40.000,38.000,82.810,false,true
498,50.499,55.000,40.000,38.000,82.810,false,true
499,50.500,55.000,40.000,38.000,82.810,false,true
500,50.501,55.000,40.000,38.000,82.810,false,true
501,50.502,55.000,40.000,38.000,82.810,false,true
502,50.503,55.000,40.000,38.000,82.810,false,true
503,50.504,55.000,40.000,38.000,82.810,false,true
504,50.505,55.000,40.000,38.000,82.810,false,true
505,50.506,55.000,40.000,38.000,82.810,false,true
506,50.507,55.000,40.000,38.000,82.810,false,true
507,50.508,55.000,40.000,38.000,82.810,false,true
508,50.509,55.000,40.000,38.000,82.810,false,true
509,50.510,55.000,40.000,38.000,82.810,false,true
510,50.511,55.000,40.000,38.000,82.810,false,true
511,50.512,55.000,40.000,38.000,82.810,false,true
512,50.513,55.000,40.000,38.000,82.810,false,true
513,50.514,55.000,40.000,38.000,82.810,false,true
514,50.515,55.000,40.000,38.000,82.810,false,true
515,50.516,55.000,40.000,38.000,82.810,false,true
516,50.517,55.000,40.000,38.000,82.810,false,true
517,50.518,55.000,40.000,38.000,82.810,false,true
518,50.519,55.000,40.000,38.000,82.810,false,true
519,50.520,55.000,40.000,38.000,82.810,false,true
520,50.521,55.000,40.000,38.000,82.810,false,true
521,50.522,55.000,40.000,38.000,82.810,false,true
522,50.523,55.000,40.000,38.000,82.810,false,true
523,50.524,55.000,40.000,38.000,82.810,false,true
524,50.525,55.000,40.000,38.000,82.810,false,true
525,50.526,55.000,40.000,38.000,82.811,false,true
526,50.527,55.000,40.000,38.000,82.811,false,true
527,50.528,55.000,40.000,38.000,82.811,false,true
